"hhid","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2018_tot","h2018_wetQ","h2018_wetQstart","qstartavg","ndvi_avg","ndvi_max","h2018_ndvi_avg","h2018_ndvi_max","lat_dd_mod","lon_dd_mod"
110030,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110081,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110082,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110083,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110084,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110085,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110086,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110087,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110088,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110089,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110090,5.5,22.8,37.7,98.2,22.8,273,260,1718,284,757,57,64,313,3,91,13,3,2,1,1,1,1,1,1337,662,18,1335,667,13,22,0.252,0.323,0.247,0.365,6.69118125694,8.13510252436
110111,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110112,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110113,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110114,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110115,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110116,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110117,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110118,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110119,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110120,16.3,18.1,18.9,36.6,18.1,273,258,1922,299,836,1178,10,313,3,70,12,2,2,1,1,1,1,1,1535,752,17,1841,922,16,25,0.285,0.361,0.276,0.349,6.09841937207,7.80601488159
110121,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110122,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110123,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110124,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110125,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110126,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110127,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110128,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110129,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
